title,author,tags,link,source
"Another 10k Apart: Create a Website in 10 KB, Win Prizes!",Jeffrey Zeldman,Industry,http://alistapart.com/article/another-10k-apart,A List Apart
Webfonts on the Prairie,Richard Fink,Typography & Web Fonts,http://alistapart.com/article/webfonts-on-the-prairie,A List Apart
Help! We (Think We) Need to Hire a Content Strategist,Jennifer Bassett,"Content Strategy,Business",http://alistapart.com/article/help-we-think-we-need-to-hire-a-content-strategist,A List Apart
Designing Interface Animation: an Interview with Val Head,Mica McPheeters,"State of the Web,Interaction Design",http://alistapart.com/article/designing-interface-animation-interview-with-val-head,A List Apart
Why We Should All Be Data Literate,Dan Turner,"Design,User Experience",http://alistapart.com/article/why-we-should-all-be-data-literate,A List Apart
Why Aren’t You Asking Questions?,Janice Gervais,Design,http://alistapart.com/article/why-arent-you-asking-questions,A List Apart
Task Performance Indicator: A Management Metric for Customer Experience,Gerry McGovern,Design,http://alistapart.com/article/task-performance-indicator-management-metric-for-customer-experience,A List Apart
Communicating Animation,Rachel Nabors,"Workflow & Tools,Interaction Design",http://alistapart.com/article/communicating-animation,A List Apart
Practical SVG,Chris Coyier,"Browsers,CSS,Responsive Design",http://alistapart.com/article/practical-svg,A List Apart
Designing Interface Animation,Val Head,Interaction Design,http://alistapart.com/article/designing-interface-animation,A List Apart
Help One of Our Own: Carolyn Wood,ALA Staff,Community,http://alistapart.com/article/help-one-of-our-own-carolyn-wood,A List Apart
Adapting to Input,Jason Grigsby,"Code,Design,User Experience",http://alistapart.com/article/adapting-to-input,A List Apart
Strategies for Healthier Dev,Chen Hui Jing,Industry,http://alistapart.com/article/strategies-for-healthier-dev,A List Apart
Resurrecting Dead Personas,Meg Dickey-Kurdziolek,"Content,User Experience",http://alistapart.com/article/resurrecting-dead-personas,A List Apart
The Itinerant Geek,Rachel Andrew,Process,http://alistapart.com/article/the-itinerant-geek,A List Apart
Create an Evolutionary Web Strategy with a Digital MRO Plan,David Hillis,Process,http://alistapart.com/article/create-an-evolutionary-web-strategy-with-a-digital-mro-plan,A List Apart
The Foundation of Technical Leadership,Brandon Gregory,Process,http://alistapart.com/article/the-foundation-of-technical-leadership,A List Apart
Promoting a Design System Across Your Products,Nathan Curtis,"Industry,Project Management",http://alistapart.com/article/promoting-a-design-system-across-your-products,A List Apart
